,ORIGIN_AIRPORT,delay,date
926,DAB,4,2015-12-21
927,DAL,67,2015-12-21
928,DAY,16,2015-12-21
929,DBQ,1,2015-12-21
930,DCA,128,2015-12-21
931,DEN,283,2015-12-21
932,DFW,402,2015-12-21
933,DHN,4,2015-12-21
934,DLH,3,2015-12-21
935,DRO,4,2015-12-21
936,DSM,13,2015-12-21
937,DTW,148,2015-12-21
938,EAU,2,2015-12-21
939,ECP,9,2015-12-21
940,EGE,9,2015-12-21
941,EKO,2,2015-12-21
942,ELM,3,2015-12-21
943,ELP,12,2015-12-21
944,ERI,2,2015-12-21
945,ESC,1,2015-12-21
946,EUG,3,2015-12-21
947,EVV,8,2015-12-21
948,EWN,2,2015-12-21
949,EWR,129,2015-12-21
950,EYW,4,2015-12-21
951,FAR,13,2015-12-21
952,FAT,7,2015-12-21
953,FAY,4,2015-12-21
954,FCA,4,2015-12-21
955,FLG,2,2015-12-21
956,FLL,131,2015-12-21
957,FNT,9,2015-12-21
958,FSD,10,2015-12-21
959,FSM,3,2015-12-21
960,FWA,10,2015-12-21
961,GCC,3,2015-12-21
962,GCK,2,2015-12-21
963,GEG,13,2015-12-21
964,GFK,2,2015-12-21
965,GGG,1,2015-12-21
966,GJT,4,2015-12-21
967,GNV,6,2015-12-21
968,GPT,9,2015-12-21
969,GRB,11,2015-12-21
970,GRI,2,2015-12-21
971,GRK,7,2015-12-21
972,GRR,18,2015-12-21
973,GSO,7,2015-12-21
974,GSP,18,2015-12-21
975,GTF,6,2015-12-21
976,GTR,2,2015-12-21
977,GUC,2,2015-12-21
978,HDN,6,2015-12-21
979,HLN,3,2015-12-21
980,HNL,92,2015-12-21
981,HOB,1,2015-12-21
982,HOU,45,2015-12-21
983,HPN,7,2015-12-21
984,HRL,3,2015-12-21
985,HSV,11,2015-12-21
986,HYS,1,2015-12-21
987,IAD,47,2015-12-21
988,IAG,1,2015-12-21
989,IAH,189,2015-12-21
990,ICT,19,2015-12-21
991,IDA,5,2015-12-21
992,ILM,4,2015-12-21
993,IMT,1,2015-12-21
994,IND,39,2015-12-21
995,INL,2,2015-12-21
996,ISN,5,2015-12-21
997,ISP,7,2015-12-21
998,ITH,2,2015-12-21
999,ITO,13,2015-12-21
1000,JAC,11,2015-12-21
1001,JAN,11,2015-12-21
1002,JAX,35,2015-12-21
1003,JFK,86,2015-12-21
1004,JLN,2,2015-12-21
1005,JNU,9,2015-12-21
1006,KOA,22,2015-12-21
1007,KTN,6,2015-12-21
1008,LAN,3,2015-12-21
1009,LAR,2,2015-12-21
1010,LAS,152,2015-12-21
1011,LAW,4,2015-12-21
1012,LAX,170,2015-12-21
1013,LBB,10,2015-12-21
1014,LBE,3,2015-12-21
1015,LCH,4,2015-12-21
1016,LEX,9,2015-12-21
1017,LFT,7,2015-12-21
1018,LGA,165,2015-12-21
1019,LGB,11,2015-12-21
1020,LIH,28,2015-12-21
1021,LIT,14,2015-12-21
1022,LNK,5,2015-12-21
1023,LRD,4,2015-12-21
1024,LSE,4,2015-12-21
1025,LWS,2,2015-12-21
1026,MAF,18,2015-12-21
1027,MBS,3,2015-12-21
1028,MCI,58,2015-12-21
1029,MCO,221,2015-12-21
1030,MDT,8,2015-12-21
1031,MDW,84,2015-12-21
1032,MEI,1,2015-12-21
1033,MEM,22,2015-12-21
1034,MFE,5,2015-12-21
1035,MFR,3,2015-12-21
1036,MGM,5,2015-12-21
1037,MHK,3,2015-12-21
1038,MHT,10,2015-12-21
1039,MIA,121,2015-12-21
1040,MKE,49,2015-12-21
1041,MKG,1,2015-12-21
1042,MLB,3,2015-12-21
1043,MLI,7,2015-12-21
1044,MLU,5,2015-12-21
1045,MOB,10,2015-12-21
1046,MOT,4,2015-12-21
1047,MQT,2,2015-12-21
1048,MRY,2,2015-12-21
1049,MSN,14,2015-12-21
1050,MSO,2,2015-12-21
1051,MSP,196,2015-12-21
1052,MSY,60,2015-12-21
1053,MTJ,7,2015-12-21
1054,MYR,4,2015-12-21
1055,OAJ,2,2015-12-21
1056,OAK,13,2015-12-21
1057,OGG,34,2015-12-21
1058,OKC,41,2015-12-21
1059,OMA,25,2015-12-21
1060,OME,2,2015-12-21
1061,ONT,23,2015-12-21
1062,ORD,468,2015-12-21
1063,ORF,14,2015-12-21
1064,ORH,1,2015-12-21
1065,PAH,2,2015-12-21
1066,PBG,1,2015-12-21
1067,PBI,64,2015-12-21
1068,PDX,61,2015-12-21
1069,PHF,2,2015-12-21
1070,PHL,106,2015-12-21
1071,PHX,233,2015-12-21
1072,PIA,9,2015-12-21
1073,PIB,1,2015-12-21
1074,PIH,1,2015-12-21
1075,PIT,42,2015-12-21
1076,PLN,1,2015-12-21
1077,PNS,6,2015-12-21
1078,PPG,1,2015-12-21
1079,PSC,6,2015-12-21
1080,PSE,3,2015-12-21
1081,PSG,2,2015-12-21
1082,PSP,14,2015-12-21
1083,PVD,12,2015-12-21
1084,PWM,10,2015-12-21
1085,RAP,6,2015-12-21
1086,RDD,1,2015-12-21
1087,RDM,1,2015-12-21
1088,RDU,48,2015-12-21
1089,RHI,1,2015-12-21
1090,RIC,26,2015-12-21
1091,RKS,2,2015-12-21
1092,RNO,13,2015-12-21
1093,ROA,5,2015-12-21
1094,ROC,14,2015-12-21
1095,ROW,1,2015-12-21
1096,RST,3,2015-12-21
1097,RSW,82,2015-12-21
1098,SAF,2,2015-12-21
1099,SAN,72,2015-12-21
1100,SAT,38,2015-12-21
1101,SAV,9,2015-12-21
1102,SBA,6,2015-12-21
1103,SBN,6,2015-12-21
1104,SBP,1,2015-12-21
1105,SCC,2,2015-12-21
1106,SCE,2,2015-12-21
1107,SDF,9,2015-12-21
1108,SEA,135,2015-12-21
1109,SFO,43,2015-12-21
1110,SGF,13,2015-12-21
1111,SGU,4,2015-12-21
1112,SHV,16,2015-12-21
1113,SIT,3,2015-12-21
1114,SJC,32,2015-12-21
1115,SJT,5,2015-12-21
1116,SJU,44,2015-12-21
1117,SLC,163,2015-12-21
1118,SMF,30,2015-12-21
1119,SMX,1,2015-12-21
1120,SNA,45,2015-12-21
1121,SPI,5,2015-12-21
1122,SPS,2,2015-12-21
1123,SRQ,10,2015-12-21
1124,STL,80,2015-12-21
1125,STT,12,2015-12-21
1126,STX,1,2015-12-21
1127,SYR,15,2015-12-21
1128,TLH,5,2015-12-21
1129,TOL,3,2015-12-21
1130,TPA,131,2015-12-21
1131,TRI,4,2015-12-21
1132,TTN,6,2015-12-21
1133,TUL,24,2015-12-21
1134,TUS,22,2015-12-21
1135,TVC,7,2015-12-21
1136,TWF,1,2015-12-21
1137,TXK,1,2015-12-21
1138,TYR,4,2015-12-21
1139,TYS,14,2015-12-21
1140,UST,1,2015-12-21
1141,VLD,2,2015-12-21
1142,VPS,10,2015-12-21
1143,WRG,2,2015-12-21
1144,XNA,19,2015-12-21
1145,YAK,1,2015-12-21
1146,YUM,5,2015-12-21
1147,ABE,4,2015-12-22
1148,ABI,7,2015-12-22
1149,ABQ,14,2015-12-22
1150,ABR,2,2015-12-22
1151,ABY,1,2015-12-22
1152,ACT,2,2015-12-22
1153,ACY,5,2015-12-22
1154,ADQ,1,2015-12-22
1155,AEX,4,2015-12-22
1156,AGS,3,2015-12-22
1157,ALB,15,2015-12-22
1158,ALO,1,2015-12-22
1159,AMA,6,2015-12-22
1160,ANC,25,2015-12-22
1161,APN,2,2015-12-22
1162,ASE,11,2015-12-22
1163,ATL,422,2015-12-22
1164,ATW,6,2015-12-22
1165,AUS,44,2015-12-22
1166,AVL,5,2015-12-22
1167,AVP,2,2015-12-22
1168,AZO,5,2015-12-22
1169,BDL,28,2015-12-22
1170,BET,1,2015-12-22
1171,BFL,1,2015-12-22
1172,BGM,1,2015-12-22
1173,BGR,1,2015-12-22
1174,BHM,14,2015-12-22
1175,BIL,8,2015-12-22
1176,BIS,6,2015-12-22
1177,BJI,2,2015-12-22
1178,BLI,3,2015-12-22
1179,BMI,5,2015-12-22
1180,BNA,59,2015-12-22
1181,BOI,18,2015-12-22
1182,BOS,134,2015-12-22
1183,BPT,1,2015-12-22
1184,BQK,3,2015-12-22
1185,BQN,3,2015-12-22
1186,BRD,2,2015-12-22
1187,BRO,4,2015-12-22
1188,BRW,1,2015-12-22
1189,BTM,1,2015-12-22
1190,BTR,8,2015-12-22
1191,BTV,8,2015-12-22
1192,BUF,26,2015-12-22
1193,BUR,21,2015-12-22
1194,BWI,58,2015-12-22
1195,BZN,5,2015-12-22
1196,CAE,8,2015-12-22
1197,CAK,12,2015-12-22
1198,CDV,1,2015-12-22
1199,CHA,5,2015-12-22
1200,CHO,3,2015-12-22
1201,CHS,19,2015-12-22
1202,CID,15,2015-12-22
1203,CIU,1,2015-12-22
1204,CLE,62,2015-12-22
1205,CLL,4,2015-12-22
1206,CLT,111,2015-12-22
1207,CMH,31,2015-12-22
1208,CMI,7,2015-12-22
1209,CMX,1,2015-12-22
1210,COS,16,2015-12-22
1211,COU,2,2015-12-22
1212,CPR,3,2015-12-22
1213,CRP,7,2015-12-22
1214,CRW,2,2015-12-22
1215,CSG,1,2015-12-22
1216,CVG,39,2015-12-22
1217,CWA,2,2015-12-22
1218,DAB,4,2015-12-22
1219,DAL,43,2015-12-22
1220,DAY,12,2015-12-22
1221,DBQ,2,2015-12-22
1222,DCA,110,2015-12-22
1223,DEN,257,2015-12-22
1224,DFW,332,2015-12-22
1225,DHN,2,2015-12-22
1226,DLH,3,2015-12-22
1227,DSM,13,2015-12-22
1228,DTW,180,2015-12-22
1229,EAU,1,2015-12-22
1230,ECP,6,2015-12-22
1231,EGE,6,2015-12-22
1232,ELM,3,2015-12-22
1233,ELP,11,2015-12-22
1234,ERI,2,2015-12-22
1235,EUG,1,2015-12-22
1236,EVV,9,2015-12-22
1237,EWN,2,2015-12-22
1238,EWR,91,2015-12-22
1239,EYW,4,2015-12-22
1240,FAI,5,2015-12-22
1241,FAR,9,2015-12-22
1242,FAT,3,2015-12-22
1243,FAY,2,2015-12-22
1244,FCA,2,2015-12-22
1245,FLG,1,2015-12-22
1246,FLL,125,2015-12-22
1247,FNT,8,2015-12-22
1248,FSD,7,2015-12-22
1249,FSM,4,2015-12-22
1250,FWA,8,2015-12-22
1251,GCC,2,2015-12-22
1252,GCK,2,2015-12-22
1253,GEG,14,2015-12-22
1254,GGG,1,2015-12-22
1255,GJT,5,2015-12-22
1256,GNV,6,2015-12-22
1257,GPT,4,2015-12-22
1258,GRB,11,2015-12-22
1259,GRI,1,2015-12-22
1260,GRK,5,2015-12-22
1261,GRR,19,2015-12-22
1262,GSO,5,2015-12-22
1263,GSP,8,2015-12-22
1264,GTF,3,2015-12-22
1265,GTR,1,2015-12-22
1266,GUC,1,2015-12-22
1267,GUM,1,2015-12-22
1268,HDN,2,2015-12-22
1269,HIB,2,2015-12-22
1270,HLN,2,2015-12-22
1271,HNL,96,2015-12-22
1272,HOB,1,2015-12-22
1273,HOU,26,2015-12-22
1274,HPN,5,2015-12-22
1275,HRL,5,2015-12-22
1276,HSV,7,2015-12-22
1277,HYS,1,2015-12-22
1278,IAD,46,2015-12-22
1279,IAG,1,2015-12-22
1280,IAH,145,2015-12-22
1281,ICT,14,2015-12-22
1282,IDA,3,2015-12-22
1283,ILM,3,2015-12-22
1284,IND,39,2015-12-22
1285,INL,1,2015-12-22
1286,ISN,3,2015-12-22
1287,ISP,6,2015-12-22
1288,ITH,2,2015-12-22
1289,ITO,8,2015-12-22
1290,JAC,10,2015-12-22
1291,JAN,6,2015-12-22
1292,JAX,28,2015-12-22
1293,JFK,82,2015-12-22
1294,JLN,1,2015-12-22
1295,JMS,1,2015-12-22
1296,JNU,9,2015-12-22
1297,KOA,27,2015-12-22
1298,KTN,5,2015-12-22
1299,LAN,5,2015-12-22
1300,LAR,1,2015-12-22
1301,LAS,114,2015-12-22
1302,LAW,4,2015-12-22
1303,LAX,148,2015-12-22
1304,LBB,10,2015-12-22
1305,LBE,2,2015-12-22
1306,LCH,3,2015-12-22
1307,LEX,7,2015-12-22
1308,LFT,8,2015-12-22
1309,LGA,157,2015-12-22
1310,LGB,9,2015-12-22
1311,LIH,33,2015-12-22
1312,LIT,17,2015-12-22
1313,LNK,3,2015-12-22
1314,LRD,3,2015-12-22
1315,LSE,4,2015-12-22
1316,LWS,1,2015-12-22
1317,MAF,8,2015-12-22
1318,MBS,5,2015-12-22
1319,MCI,46,2015-12-22
1320,MCO,160,2015-12-22
1321,MDT,7,2015-12-22
1322,MDW,51,2015-12-22
1323,MEI,2,2015-12-22
1324,MEM,22,2015-12-22
1325,MFE,6,2015-12-22
1326,MFR,1,2015-12-22
1327,MGM,3,2015-12-22
1328,MHK,2,2015-12-22
1329,MHT,9,2015-12-22
1330,MIA,90,2015-12-22
1331,MKE,37,2015-12-22
1332,MKG,1,2015-12-22
1333,MLB,1,2015-12-22
1334,MLI,5,2015-12-22
1335,MLU,7,2015-12-22
1336,MOB,6,2015-12-22
1337,MOT,3,2015-12-22
1338,MQT,2,2015-12-22
1339,MRY,3,2015-12-22
1340,MSN,14,2015-12-22
1341,MSO,3,2015-12-22
1342,MSP,164,2015-12-22
1343,MSY,41,2015-12-22
1344,MTJ,2,2015-12-22
1345,MYR,3,2015-12-22
1346,OAJ,3,2015-12-22
1347,OAK,17,2015-12-22
1348,OGG,45,2015-12-22
1349,OKC,31,2015-12-22
1350,OMA,24,2015-12-22
1351,ONT,12,2015-12-22
1352,ORD,451,2015-12-22
1353,ORF,13,2015-12-22
1354,ORH,1,2015-12-22
1355,OTZ,1,2015-12-22
1356,PAH,1,2015-12-22
1357,PBG,1,2015-12-22
1358,PBI,48,2015-12-22
1359,PDX,67,2015-12-22
1360,PHF,2,2015-12-22
1361,PHL,70,2015-12-22
1362,PHX,172,2015-12-22
1363,PIA,10,2015-12-22
1364,PIB,2,2015-12-22
1365,PIT,30,2015-12-22
1366,PLN,1,2015-12-22
1367,PNS,8,2015-12-22
1368,PSC,6,2015-12-22
1369,PSE,2,2015-12-22
1370,PSG,2,2015-12-22
1371,PSP,19,2015-12-22
1372,PVD,12,2015-12-22
1373,PWM,12,2015-12-22
1374,RAP,8,2015-12-22
1375,RDM,4,2015-12-22
1376,RDU,38,2015-12-22
1377,RHI,2,2015-12-22
1378,RIC,22,2015-12-22
1379,RKS,1,2015-12-22
1380,RNO,9,2015-12-22
1381,ROA,1,2015-12-22
1382,ROC,8,2015-12-22
1383,ROW,2,2015-12-22
1384,RST,3,2015-12-22
1385,RSW,68,2015-12-22
1386,SAF,1,2015-12-22
1387,SAN,66,2015-12-22
1388,SAT,46,2015-12-22
1389,SAV,8,2015-12-22
1390,SBA,1,2015-12-22
1391,SBN,7,2015-12-22
1392,SBP,1,2015-12-22
1393,SCC,2,2015-12-22
1394,SCE,1,2015-12-22
1395,SDF,10,2015-12-22
1396,SEA,141,2015-12-22
1397,SFO,55,2015-12-22
1398,SGF,10,2015-12-22
1399,SGU,2,2015-12-22
1400,SHV,9,2015-12-22
1401,SIT,2,2015-12-22
1402,SJC,29,2015-12-22
1403,SJT,5,2015-12-22
1404,SJU,42,2015-12-22
1405,SLC,87,2015-12-22
1406,SMF,36,2015-12-22
1407,SNA,28,2015-12-22
1408,SPI,1,2015-12-22
1409,SRQ,7,2015-12-22
1410,STL,67,2015-12-22
1411,STT,7,2015-12-22
1412,STX,2,2015-12-22
1413,SUX,2,2015-12-22
1414,SWF,2,2015-12-22
1415,SYR,14,2015-12-22
1416,TLH,3,2015-12-22
1417,TOL,2,2015-12-22
1418,TPA,102,2015-12-22
1419,TRI,5,2015-12-22
1420,TTN,6,2015-12-22
1421,TUL,25,2015-12-22
1422,TUS,24,2015-12-22
1423,TVC,6,2015-12-22
1424,TXK,1,2015-12-22
1425,TYR,4,2015-12-22
1426,TYS,12,2015-12-22
1427,VLD,2,2015-12-22
1428,VPS,7,2015-12-22
1429,WRG,2,2015-12-22
1430,XNA,15,2015-12-22
1431,YAK,1,2015-12-22
1432,YUM,4,2015-12-22
1433,ABI,5,2015-12-23
1434,ABQ,18,2015-12-23
1435,ABY,1,2015-12-23
1436,ACT,5,2015-12-23
1437,ACV,2,2015-12-23
1438,ACY,2,2015-12-23
1439,ADQ,1,2015-12-23
1440,AEX,7,2015-12-23
1441,AGS,3,2015-12-23
1442,ALB,12,2015-12-23
1443,ALO,1,2015-12-23
1444,AMA,2,2015-12-23
1445,ANC,25,2015-12-23
1446,APN,1,2015-12-23
1447,ASE,5,2015-12-23
1448,ATL,249,2015-12-23
1449,ATW,2,2015-12-23
1450,AUS,51,2015-12-23
1451,AVL,2,2015-12-23
1452,AZO,2,2015-12-23
1453,BDL,19,2015-12-23
1454,BFL,3,2015-12-23
1455,BGM,1,2015-12-23
1456,BGR,1,2015-12-23
1457,BHM,18,2015-12-23
1458,BIL,9,2015-12-23
1459,BIS,7,2015-12-23
1460,BJI,1,2015-12-23
1461,BLI,3,2015-12-23
1462,BMI,6,2015-12-23
1463,BNA,49,2015-12-23
1464,BOI,17,2015-12-23
1465,BOS,114,2015-12-23
1466,BPT,1,2015-12-23
1467,BQN,3,2015-12-23
1468,BRD,1,2015-12-23
1469,BRO,6,2015-12-23
1470,BRW,1,2015-12-23
1471,BTM,2,2015-12-23
1472,BTR,3,2015-12-23
1473,BTV,4,2015-12-23
1474,BUF,26,2015-12-23
1475,BUR,23,2015-12-23
1476,BWI,58,2015-12-23
1477,BZN,11,2015-12-23
1478,CAE,4,2015-12-23
1479,CAK,11,2015-12-23
1480,CDV,2,2015-12-23
1481,CHA,2,2015-12-23
1482,CHO,3,2015-12-23
1483,CHS,19,2015-12-23
1484,CID,11,2015-12-23
1485,CIU,1,2015-12-23
1486,CLE,50,2015-12-23
1487,CLL,5,2015-12-23
1488,CLT,59,2015-12-23
1489,CMH,32,2015-12-23
1490,CMI,4,2015-12-23
1491,CMX,1,2015-12-23
1492,COD,1,2015-12-23
1493,COS,10,2015-12-23
1494,COU,1,2015-12-23
1495,CPR,2,2015-12-23
1496,CRP,8,2015-12-23
1497,CRW,3,2015-12-23
1498,CSG,1,2015-12-23
1499,CVG,24,2015-12-23
1500,CWA,1,2015-12-23
1501,DAB,4,2015-12-23
1502,DAL,43,2015-12-23
1503,DAY,9,2015-12-23
1504,DCA,64,2015-12-23
1505,DEN,214,2015-12-23
1506,DFW,340,2015-12-23
1507,DHN,2,2015-12-23
1508,DLH,2,2015-12-23
1509,DSM,8,2015-12-23
1510,DTW,114,2015-12-23
1511,DVL,1,2015-12-23
1512,EAU,1,2015-12-23
1513,ECP,5,2015-12-23
1514,EGE,6,2015-12-23
1515,EKO,1,2015-12-23
1516,ELP,13,2015-12-23
1517,ERI,1,2015-12-23
1518,ESC,1,2015-12-23
1519,EUG,4,2015-12-23
1520,EVV,2,2015-12-23
1521,EWN,1,2015-12-23
1522,EWR,53,2015-12-23
1523,EYW,4,2015-12-23
1524,FAI,4,2015-12-23
1525,FAR,9,2015-12-23
1526,FAT,8,2015-12-23
1527,FAY,3,2015-12-23
1528,FCA,2,2015-12-23
1529,FLG,1,2015-12-23
1530,FLL,94,2015-12-23
1531,FNT,7,2015-12-23
1532,FSD,3,2015-12-23
1533,FSM,5,2015-12-23
1534,FWA,9,2015-12-23
1535,GCC,1,2015-12-23
1536,GCK,2,2015-12-23
1537,GEG,9,2015-12-23
1538,GFK,3,2015-12-23
1539,GGG,2,2015-12-23
1540,GJT,4,2015-12-23
1541,GNV,6,2015-12-23
1542,GPT,5,2015-12-23
1543,GRB,8,2015-12-23
1544,GRI,2,2015-12-23
1545,GRK,5,2015-12-23
1546,GRR,15,2015-12-23
1547,GSO,4,2015-12-23
1548,GSP,8,2015-12-23
1549,GTF,3,2015-12-23
1550,GTR,1,2015-12-23
1551,GUM,1,2015-12-23
1552,HIB,2,2015-12-23
1553,HLN,3,2015-12-23
1554,HNL,92,2015-12-23
1555,HOB,1,2015-12-23
1556,HOU,38,2015-12-23
1557,HPN,3,2015-12-23
1558,HRL,8,2015-12-23
1559,HSV,6,2015-12-23
1560,IAD,36,2015-12-23
1561,IAG,1,2015-12-23
1562,IAH,190,2015-12-23
1563,ICT,14,2015-12-23
1564,IDA,1,2015-12-23
1565,ILM,4,2015-12-23
1566,IMT,1,2015-12-23
1567,IND,38,2015-12-23
1568,INL,1,2015-12-23
1569,ISN,2,2015-12-23
1570,ISP,3,2015-12-23
1571,ITO,9,2015-12-23
1572,JAC,4,2015-12-23
1573,JAN,10,2015-12-23
1574,JAX,28,2015-12-23
1575,JFK,76,2015-12-23
1576,JLN,2,2015-12-23
1577,JMS,3,2015-12-23
1578,JNU,9,2015-12-23
1579,KOA,18,2015-12-23
1580,KTN,5,2015-12-23
1581,LAN,2,2015-12-23
1582,LAS,152,2015-12-23
1583,LAW,3,2015-12-23
1584,LAX,185,2015-12-23
1585,LBB,6,2015-12-23
1586,LBE,2,2015-12-23
1587,LCH,6,2015-12-23
1588,LEX,8,2015-12-23
1589,LFT,10,2015-12-23
1590,LGA,56,2015-12-23
1591,LGB,6,2015-12-23
1592,LIH,24,2015-12-23
1593,LIT,12,2015-12-23
1594,LNK,3,2015-12-23
1595,LRD,5,2015-12-23
1596,LSE,4,2015-12-23
1597,LWS,1,2015-12-23
1598,MAF,11,2015-12-23
1599,MBS,3,2015-12-23
1600,MCI,58,2015-12-23
1601,MCO,130,2015-12-23
1602,MDT,4,2015-12-23
1603,MDW,46,2015-12-23
1604,MEI,1,2015-12-23
1605,MEM,15,2015-12-23
1606,MFE,6,2015-12-23
1607,MFR,3,2015-12-23
1608,MGM,4,2015-12-23
1609,MHK,3,2015-12-23
1610,MHT,9,2015-12-23
1611,MIA,85,2015-12-23
1612,MKE,32,2015-12-23
1613,MKG,1,2015-12-23
1614,MLB,2,2015-12-23
1615,MLI,4,2015-12-23
1616,MLU,6,2015-12-23
1617,MOB,9,2015-12-23
1618,MOT,2,2015-12-23
1619,MQT,2,2015-12-23
1620,MRY,5,2015-12-23
1621,MSN,9,2015-12-23
1622,MSO,2,2015-12-23
1623,MSP,120,2015-12-23
1624,MSY,44,2015-12-23
1625,MTJ,1,2015-12-23
1626,MYR,5,2015-12-23
1627,OAJ,1,2015-12-23
1628,OAK,18,2015-12-23
1629,OGG,41,2015-12-23
1630,OKC,31,2015-12-23
1631,OMA,17,2015-12-23
1632,OME,1,2015-12-23
1633,ONT,28,2015-12-23
1634,ORD,239,2015-12-23
1635,ORF,7,2015-12-23
1636,ORH,1,2015-12-23
1637,PBG,1,2015-12-23
1638,PBI,36,2015-12-23
1639,PDX,71,2015-12-23
1640,PHF,2,2015-12-23
1641,PHL,46,2015-12-23
1642,PHX,182,2015-12-23
1643,PIA,4,2015-12-23
1644,PIB,1,2015-12-23
1645,PIH,1,2015-12-23
1646,PIT,36,2015-12-23
1647,PLN,1,2015-12-23
1648,PNS,11,2015-12-23
1649,PSC,5,2015-12-23
1650,PSG,2,2015-12-23
1651,PSP,25,2015-12-23
1652,PVD,13,2015-12-23
1653,PWM,8,2015-12-23
1654,RAP,7,2015-12-23
1655,RDD,1,2015-12-23
1656,RDM,4,2015-12-23
1657,RDU,15,2015-12-23
1658,RHI,1,2015-12-23
1659,RIC,12,2015-12-23
1660,RKS,1,2015-12-23
1661,RNO,16,2015-12-23
1662,ROC,9,2015-12-23
1663,ROW,1,2015-12-23
1664,RST,1,2015-12-23
1665,RSW,43,2015-12-23
1666,SAF,1,2015-12-23
1667,SAN,81,2015-12-23
1668,SAT,37,2015-12-23
1669,SAV,7,2015-12-23
1670,SBA,6,2015-12-23
1671,SBN,5,2015-12-23
1672,SBP,6,2015-12-23
1673,SCC,1,2015-12-23
1674,SCE,3,2015-12-23
1675,SDF,13,2015-12-23
1676,SEA,146,2015-12-23
1677,SFO,150,2015-12-23
1678,SGF,10,2015-12-23
1679,SGU,1,2015-12-23
1680,SHV,12,2015-12-23
1681,SIT,3,2015-12-23
1682,SJC,32,2015-12-23
1683,SJT,3,2015-12-23
1684,SJU,23,2015-12-23
1685,SLC,105,2015-12-23
1686,SMF,28,2015-12-23
1687,SMX,1,2015-12-23
1688,SNA,48,2015-12-23
1689,SPI,1,2015-12-23
1690,SPS,3,2015-12-23
1691,SRQ,4,2015-12-23
1692,STL,27,2015-12-23
1693,STT,9,2015-12-23
1694,STX,2,2015-12-23
1695,SUN,3,2015-12-23
1696,SUX,1,2015-12-23
1697,SWF,1,2015-12-23
1698,SYR,8,2015-12-23
1699,TLH,1,2015-12-23
1700,TOL,3,2015-12-23
1701,TPA,82,2015-12-23
1702,TRI,4,2015-12-23
1703,TTN,7,2015-12-23
1704,TUL,21,2015-12-23
1705,TUS,25,2015-12-23
1706,TVC,3,2015-12-23
1707,TXK,2,2015-12-23
1708,TYR,5,2015-12-23
1709,TYS,6,2015-12-23
1710,UST,1,2015-12-23
1711,VLD,2,2015-12-23
1712,VPS,10,2015-12-23
1713,WRG,2,2015-12-23
1714,XNA,14,2015-12-23
1715,YAK,2,2015-12-23
1716,YUM,4,2015-12-23
1717,ABE,1,2015-12-24
1718,ABI,5,2015-12-24
1719,ABQ,20,2015-12-24
1720,ACT,5,2015-12-24
1721,ACV,1,2015-12-24
1722,ACY,9,2015-12-24
1723,ADK,1,2015-12-24
1724,ADQ,1,2015-12-24
1725,AEX,4,2015-12-24
1726,ALB,14,2015-12-24
1727,ALO,1,2015-12-24
1728,AMA,7,2015-12-24
1729,ANC,28,2015-12-24
1730,APN,1,2015-12-24
1731,ASE,2,2015-12-24
1732,ATL,44,2015-12-24
1733,ATW,3,2015-12-24
1734,AUS,64,2015-12-24
1735,AVL,2,2015-12-24
1736,AVP,1,2015-12-24
1737,AZO,4,2015-12-24
1738,BDL,12,2015-12-24
1739,BET,1,2015-12-24
1740,BFL,3,2015-12-24
1741,BGR,1,2015-12-24
1742,BHM,15,2015-12-24
1743,BIL,6,2015-12-24
1744,BIS,7,2015-12-24
1745,BJI,1,2015-12-24
1746,BLI,2,2015-12-24
1747,BMI,3,2015-12-24
1748,BNA,43,2015-12-24
1749,BOI,18,2015-12-24
1750,BOS,131,2015-12-24
1751,BRD,1,2015-12-24
1752,BRO,6,2015-12-24
1753,BRW,2,2015-12-24
1754,BTM,1,2015-12-24
1755,BTR,6,2015-12-24
1756,BTV,7,2015-12-24
1757,BUF,31,2015-12-24
1758,BUR,25,2015-12-24
1759,BWI,79,2015-12-24
1760,BZN,8,2015-12-24
1761,CAE,3,2015-12-24
1762,CAK,6,2015-12-24
1763,CDC,1,2015-12-24
1764,CDV,2,2015-12-24
1765,CHA,2,2015-12-24
1766,CHO,3,2015-12-24
1767,CHS,11,2015-12-24
1768,CID,11,2015-12-24
1769,CIU,2,2015-12-24
1770,CLE,46,2015-12-24
1771,CLL,3,2015-12-24
1772,CLT,119,2015-12-24
1773,CMH,31,2015-12-24
1774,CMI,7,2015-12-24
1775,CMX,1,2015-12-24
1776,COS,12,2015-12-24
1777,COU,1,2015-12-24
1778,CPR,2,2015-12-24
1779,CRP,7,2015-12-24
1780,CRW,2,2015-12-24
1781,CVG,25,2015-12-24
1782,CWA,3,2015-12-24
1783,DAB,2,2015-12-24
1784,DAL,69,2015-12-24
1785,DAY,12,2015-12-24
1786,DBQ,3,2015-12-24
1787,DCA,75,2015-12-24
1788,DEN,255,2015-12-24
1789,DFW,382,2015-12-24
1790,DLH,4,2015-12-24
1791,DSM,9,2015-12-24
1792,DTW,122,2015-12-24
1793,DVL,2,2015-12-24
1794,EAU,1,2015-12-24
1795,ECP,1,2015-12-24
1796,EGE,6,2015-12-24
1797,EKO,1,2015-12-24
1798,ELM,2,2015-12-24
1799,ELP,17,2015-12-24
1800,ERI,1,2015-12-24
1801,ESC,1,2015-12-24
1802,EUG,6,2015-12-24
1803,EVV,3,2015-12-24
1804,EWN,1,2015-12-24
